Company,Company Score,Job Title,Date,Salary,Skills,Estimation Type,Remote,City,Country
AWTG,3.7,AI / ML Engineers,39.0,55000.0,"Data modelling, Data mining, R, SQL, Machine learning",Glasdoor est.,Onsite,London,England
Starling Bank,4.2,Data Scientist (Fincrime),33.0,119500.0,"TensorFlow, Maths, Machine learning, APIs, Mac OS",Glasdoor est.,Onsite,London,England
Pandora Jewelry,3.9,Data Scientist,43.0,45000.0,"TensorFlow, R, Machine learning, Team management, Mentoring",Glasdoor est.,Onsite,London,England
Meta,4.1,"Data Science Manager, Privacy Areas",41.0,40000.0,"TensorFlow, C++, Maths, Machine learning, Deep learning",Employer est.,Onsite,London,England
Ministry of Defence,3.2,DE&S Data Science Specialist,32.0,69000.0,"Azure, Pentaho, Big data, Spark, NoSQL",Glasdoor est.,Onsite,Bristol,England
Apple,4.0,"SWE - GPU ML Engineer, GGD",11.0,62000.0,"Data analysis skills, Java, Scala, Natural language processing, Communication skills",Employer est.,Onsite,London,England
FXC Intelligence,3.8,Data Analytics Manager,30.0,61000.0,Machine learning,Glasdoor est.,Onsite,London,England
PlayStation Global,4.0,Machine Learning Engineer for Game Technology,33.0,75000.0,"TensorFlow, Azure, Kubernetes, Software deployment, Google Cloud Platform",Employer est.,Onsite,London,England
DataSpartan Consulting,3.7,BIG DATA ARCHITECT,40.0,42500.0,"R, Git, SQL, Telecommunication, Agile",Glasdoor est.,Onsite,London,England
Thomson Reuters,3.9,"Applied Scientist, NLP",30.0,51500.0,"SAS, Data structures, R, Communication skills, Python",Glasdoor est.,Onsite,London,England
University of Liverpool,4.0,Research Fellow in AI and Machine Learning for Materials Discovery (AlChemy) Grade 7,13.0,72500.0,"Alteryx, SQL, Machine learning, Cloud computing, Communication skills",Glasdoor est.,Onsite,Liverpool,England
Capgemini,4.3,Senior Data Scientist/AI Engineer,38.0,71500.0,"Azure, Bootstrap, Software deployment, Spark, Google Cloud Platform",Glasdoor est.,Onsite,London,England
GHD,3.7,"Advisor, Data Science Management Consultant",35.0,70500.0,"Azure, Software deployment, Google Cloud Platform, Business development, AWS",Glasdoor est.,Onsite,London,England
University of Ulster,4.0,Research Associate in Data Science - Smart Manufacturing Data Hub (2 posts),18.0,50000.0,"OOP, Machine learning, Deep learning, Natural language processing, Data science",Glasdoor est.,Onsite,Derry,Northern Ireland
Johnson & Johnson,3.9,Experienced Statistical Programmer,10.0,44000.0,"Statistics, Azure, SAS, Big data, Software deployment",Glasdoor est.,Onsite,High Wycombe,England
RAC,4.6,Operations Lead Data Scientist,43.0,63500.0,"Azure, Big data, Spark, R, Data analysis skills",Glasdoor est.,Onsite,Walsall,England
Databricks,4.1,Big Data Solutions Architect,37.0,76000.0,"Machine learning, Mentoring, IT, Leadership",Glasdoor est.,Onsite,London,England
Capgemini Invent,3.3,Director - Data Science,10.0,35000.0,"Azure, DevOps, Google Cloud Platform, Java, AWS",Glasdoor est.,Onsite,London,England
G-Research,3.9,Machine Learning Researcher,40.0,28000.0,"Machine learning, Deep learning, Natural language processing, Communication skills, Graph databases",Glasdoor est.,Onsite,London,England
Amazon UK Services Ltd. - A10,3.8,Sr. Applied Scientist - Global Operational Excellence,25.0,97500.0,"TensorFlow, Software deployment, Git, Machine learning, Legal drafting",Glasdoor est.,Onsite,London,England
Awin,3.1,Data Engineer (AI/ML),5.0,78500.0,"Machine learning, Organisational skills",Glasdoor est.,Onsite,London,England
Spotify,4.2,Machine Learning Engineering Manager,30.0,38000.0,"Data mining, R, SQL, Statistical analysis, Machine learning",Glasdoor est.,Onsite,London,England
Roke Manor Research Limited,4.0,Data Science Lead,43.0,99500.0,"TensorFlow, Machine learning, Deep learning, Natural language processing, Software development",Glasdoor est.,Onsite,Manchester,England
G-Research,3.9,Natural Language Processing Researcher,41.0,57500.0,"C#, Microsoft SQL Server, Java, SQL, C++",Employer est.,Onsite,London,England
Genie AI,3.8,Senior Machine Learning Research Scientist,39.0,50000.0,"Business development, Machine learning, Systems engineering, Agile, Data science",Employer est.,Onsite,London,England
The University of Manchester,3.7,Research Associate or Research Fellow in Machine Learning,4.0,67500.0,"Business analysis, Analysis skills, Machine learning, Quantitative analysis, Python",Glasdoor est.,Onsite,Manchester,England
Blue Education,4.0,AI Engineer,40.0,67000.0,"Statistical software, Power BI, Microsoft Excel, Azure, SAS",Employer est.,Onsite,London,England
Tripadvisor,5.0,"Machine Learning Engineer II - Content, NLP, LLM",44.0,58500.0,"Machine learning, Deep learning, Natural language processing, AI",Glasdoor est.,Onsite,London,England
Eka Finance,2.7,Cross Asset Data Scientist / NY / London/ Asia,12.0,94500.0,"Big data, Spark, R, Apache Hive, Tableau",Glasdoor est.,Onsite,London,England
Roke Manor Research Limited,3.8,"Head of Profession – Artificial Intelligence, Machine Learning and Data Science",14.0,53500.0,"Power BI, Azure, Relational databases, QlikView, Tableau",Glasdoor est.,Onsite,Romsey,England
Choreograph,4.0,Senior Data Scientist,37.0,115000.0,"Clinical research, XML, SAS, Data structures, Project management",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,4.1,HR Data and Analytics - Insights and Product Delivery - Senior Associate,15.0,43500.0,"Azure, Sales, Google Cloud Platform, Business development, AWS",Glasdoor est.,Onsite,,
RELX,3.8,Director of Data Science,20.0,62500.0,"Data analysis skills, Project management, Machine learning, Agile, Business requirements",Employer est.,Onsite,Farringdon,England
TransUnion,3.9,Data Science Platform Engineer,19.0,77000.0,"Programme management, Waterfall, Big data, Software development, Project management methodology",Glasdoor est.,Onsite,Leeds,England
EY,4.1,"Senior Consultant, Data Engineering, Data & Analytics, Assurance, Belfast",3.0,43000.0,"R, Presentation skills, Machine learning, Python",Glasdoor est.,Onsite,Belfast,Northern Ireland
ICON,4.0,Statistical Programmer II (Home based in EMEA),11.0,85000.0,"Data modelling, Kubernetes, Big data, Spark, Machine learning",Employer est.,Onsite,,
Capgemini Invent,4.2,Managing Consultant - Data & AI Strategy - Data Management,32.0,79500.0,"TensorFlow, Azure, Big data, DevOps, Spark",Glasdoor est.,Onsite,London,England
The Random House Group Limited,3.9,AI Applications Specialist (18-month FTC),18.0,58000.0,"Machine learning, Deep learning, Natural language processing, AI, Python",Glasdoor est.,Onsite,London,England
Apple,3.5,Engineering Programme Manager - Marketing Analytics,24.0,74500.0,"Azure, Google Cloud Platform, AWS, Business requirements, Communication skills",Glasdoor est.,Onsite,London,England
CoMind,4.0,Senior Data Scientist,39.0,55000.0,"Data mining, Java, PHP, C++, C",Glasdoor est.,Onsite,London,England
Every Cure,4.6,Machine Learning Engineer,34.0,52000.0,"English, Machine learning, Deep learning, IT, Communication skills",Employer est.,Onsite,London,England
bigspark,3.3,AI Engineer,38.0,65000.0,"TensorFlow, Azure, Go, Kubernetes, Software deployment",Employer est.,Onsite,Nottingham,England
Meta,4.2,"Research Engineer, Language - Generative AI",36.0,39500.0,"SQL, APIs, Python",Employer est.,Onsite,London,England
Choreograph,3.4,"SVP, Product (Advanced Analytics)",14.0,65500.0,"Data mining, Teaching",Glasdoor est.,Onsite,London,England
Meta,3.8,"Software Engineer, Machine Learning",36.0,68000.0,"TensorFlow, Image processing, Signal processing, Kubernetes, Git",Glasdoor est.,Onsite,London,England
InstaDeep,4.2,"Senior Applied Research Scientist, Deep Learning for RNA",40.0,55000.0,Machine learning,Glasdoor est.,Onsite,London,England
Capgemini,3.9,Principal Data Scientist/Artificial Intelligence Engineer,37.0,62500.0,"Kubernetes, AWS, Maths, Docker, Machine learning",Glasdoor est.,Onsite,London,England
marshmallow,4.1,"Senior Pricing Data Scientist, Retail pricing team",7.0,75500.0,"TensorFlow, Performance tuning, Azure, Kubernetes, Big data",Glasdoor est.,Onsite,London,England
University of Sheffield,4.0,Lecturer / Senior Lecturer in Data Science,37.0,85000.0,"Azure, Machine learning, Deep learning",Glasdoor est.,Onsite,Sheffield,England
Onfido,4.1,Senior Applied Scientist (Computer Vision / Machine Learning),31.0,97500.0,"Machine learning, Python, Arduino, Raspberry Pi",Employer est.,Remote,,
Grasp,4.3,ML Engineer,38.0,98000.0,"Kubernetes, Google Cloud Platform, Statistical analysis, Machine learning, Natural language processing",Glasdoor est.,Onsite,London,England
Boon Global,5.0,Machine Learning Engineer - NLP,10.0,80000.0,"Kubernetes, DevOps, OOP, AWS, Machine learning",Employer est.,Onsite,London,England
"World Wide Technology Holding, LLC",3.0,AI Operations Specialist,38.0,95000.0,"Microsoft Excel, Financial report writing, Tableau, Analysis skills, Data visualisation",Glasdoor est.,Onsite,London,England
Moneybox,3.7,Machine Learning Engineer / Researcher,19.0,41000.0,"Cloud infrastructure, Azure, Kubernetes, English, Google Cloud Platform",Glasdoor est.,Onsite,London,England
University of Nottingham,4.1,Research Associate/Fellow in (a) Experimental High Throughput Materials Discovery OR (b) Computational Materials with Machine Learning (Fixed term),7.0,85000.0,"Software deployment, AWS, Presentation skills, AI",Glasdoor est.,Onsite,Nottingham,England
Bumble Inc.,3.4,Machine Learning Engineer (NLP) - Trust & Safety,38.0,40000.0,"TensorFlow, Big data, Analysis skills, Maths, Machine learning",Employer est.,Onsite,London,England
DraftKings,4.3,"Manager, Data Science Engineering",30.0,80000.0,"Management, Machine learning, Data science, Python, Time management",Employer est.,Onsite,London,England
Dexcom,3.7,Marketing Analytics Lead,33.0,74500.0,"Jira, Kubernetes, Spark, Trello, Docker",Glasdoor est.,Remote,,
Canonical,3.7,"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",40.0,103500.0,"C++, Machine learning, Python",Glasdoor est.,Onsite,Douglas,Scotland
Capgemini Invent,5.0,Senior Consultant Data & AI Strategy - Operating Model,11.0,97500.0,"TensorFlow, Azure, English, Google Cloud Platform, AWS",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,2.7,NLP / LLM Scientist - Applied AI ML Lead - Machine Learning Centre of Excellence,33.0,51500.0,"TensorFlow, Data modelling, Data structures, Machine learning",Glasdoor est.,Onsite,,
Experian,3.5,Mid-Level Analytics Consultant - ID&F,32.0,44000.0,"Jira, Power BI, Data structures, Tableau, SQL",Glasdoor est.,Onsite,Nottingham,England
Medtronic,2.9,Data & AI Platform Product Manager,25.0,47000.0,"Google Cloud Platform, AWS, C++, Maths, C",Employer est.,Onsite,London,England
Vicon,4.0,Machine Learning Engineer,5.0,53500.0,"Data analysis skills, Statistical analysis, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,Botley,England
Natural History Museum,3.6,AI / ML Engineer,10.0,70000.0,"Software deployment, AWS, Docker, Machine learning, Deep learning",Employer est.,Onsite,London,England
Synthesized,4.0,Machine Learning Engineer,31.0,75500.0,"Big data, Machine learning, Deep learning, Cloud computing, Data science",Glasdoor est.,Onsite,London,England
QuantSpark,3.8,Analytics Consultant,34.0,63000.0,"R, Data analysis skills, Machine learning, Predictive analytics, Data science",Glasdoor est.,Onsite,London,England
causaLens,4.2,Machine Learning Engineer,40.0,85500.0,"TensorFlow, TCP, Fortran, C++, C",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,3.1,"Vice President, Applied Artificial Intelligence & Machine Learning Lead, Markets Operations",2.0,50000.0,"Data analysis skills, Maintenance, SQL, Database management, C",Employer est.,Onsite,,
Vaarst,4.1,Machine Learning Engineer,39.0,40000.0,"TensorFlow, Machine learning, Communication skills, Python",Employer est.,Onsite,Bristol,England
Choreograph,3.7,Head of Data Science - Global Solutions,17.0,110000.0,"Elasticsearch, Spark, R, NoSQL, Google Cloud Platform",Glasdoor est.,Onsite,London,England
Novartis,4.0,Senior Principal Data Scientist,34.0,77000.0,"Statistical software, R, English, Machine learning, Public health",Glasdoor est.,Onsite,London,England
Hewlett Packard Enterprise,4.0,Research Engineer AI for Isambard - AI Advanced Collaboration Center,19.0,80000.0,"ASP.NET, Power BI, ERP systems, Quality management, SQL",Employer est.,Onsite,Bristol,England
Wikimedia Foundation,4.1,"Senior Manager, Fundraising Data & Analytics",17.0,70000.0,"R, Business analysis, Data analysis skills, SQL, Analysis skills",Glasdoor est.,Onsite,London,England
"Aalyria Technologies, Inc",3.7,Machine Learning Engineer - Spacetime (UK),42.0,116500.0,"TensorFlow, Elasticsearch, React, Kubernetes, DevOps",Glasdoor est.,Onsite,London,England
Corsearch,3.8,Principal Data Scientist,30.0,64000.0,"Machine learning, Deep learning, Natural language processing, AI",Glasdoor est.,Onsite,London,England
Novartis,3.6,Principal Biostatistician,41.0,47500.0,"TensorFlow, Cloud infrastructure, Azure, Adobe Flash, Microsoft Office",Glasdoor est.,Onsite,London,England
JoJo Maman Bebe,4.0,BI and Data Manager (hybrid working),17.0,136000.0,"Software deployment, R, English, Statistical analysis, Django",Glasdoor est.,Onsite,London,England
Bell Integration,3.7,AI Business Analyst,14.0,66500.0,"Data modelling, Data mining, Big data, R, SQL",Glasdoor est.,Onsite,London,England
NVIDIA,4.2,"Senior Full Stack Engineer, Deep Learning Algorithms",6.0,69000.0,"Big data, Data structures, R, Project management, C",Glasdoor est.,Remote,,
Lexis Nexis,4.3,Director of Data Science,20.0,54000.0,"Product development, Machine learning, Natural language processing, Agile",Glasdoor est.,Onsite,Farringdon,England
Microsoft,3.8,Machine Learning Research Engineer,21.0,87500.0,"Public health, Data science, Teaching",Glasdoor est.,Onsite,Cambridge,England
HR Wallingford,3.8,Statistician / Senior Statistician,4.0,65000.0,"TensorFlow, Spark, Data analysis skills, Apache Hive, SQL",Glasdoor est.,Onsite,Wallingford,England
GroupM Nexus Finecast,4.0,Director of Data Analytics,21.0,87500.0,"Statistics, Go, Software deployment, Git, Google Cloud Platform",Glasdoor est.,Onsite,London,England
Mastercard,4.1,"Vice President, Applied AI",41.0,46500.0,"Supply chain, Google Cloud Platform, AWS, Machine learning, Data science",Glasdoor est.,Onsite,London,England
Linktree,4.1,"Engineering Manager, Data & Machine Learning",44.0,56500.0,"TensorFlow, AWS, Docker, Machine learning, Natural language processing",Glasdoor est.,Onsite,London,England
King's College London,2.7,Professor of Public Health and Health Data Science,30.0,89000.0,"Java, C++, Project management, C, Machine learning",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,3.0,Applied AI/ML Senior Associate - HR Data & Analytics,32.0,41000.0,"Data mining, R, Python",Glasdoor est.,Onsite,London,England
Kaluza,4.0,Machine Learning Engineer - Flex,34.0,33000.0,"SAS, R, English, Statistical analysis, Machine learning",Glasdoor est.,Onsite,London,England
University of Warwick,4.0,Lead Engineer (Senior Supply Chain Data Scientist),18.0,57000.0,"Rust, Go, Data structures, Logistics, Machine learning",Employer est.,Onsite,Coventry,England
Mint Selection,3.5,"Machine Learning Engineer: LLM, NLP, GenAI",13.0,79500.0,"Git, English, Google Cloud Platform, SQL, AWS",Glasdoor est.,Onsite,London,England
Hyperscience,4.1,Machine Learning Engineering Manager,41.0,66500.0,"Business development, AWS, Product management, Deep learning, Data science",Glasdoor est.,Remote,,
"NHS Shropshire, Telford and Wrekin Integrated Care Board",3.9,Senior Strategic Analytics Lead,33.0,71000.0,"Sales, Business analysis, Change management, Machine learning, Data management",Glasdoor est.,Onsite,Somerset,England
GSK,4.2,"Principal Statistician, Research Statistics",16.0,56000.0,"TensorFlow, Azure, Software deployment, Git, Google Cloud Platform",Glasdoor est.,Onsite,Stevenage,England
Deliveroo,3.9,Machine Learning Engineer - Operational Research,44.0,42000.0,"Git, SQL, AWS, Docker, Machine learning",Glasdoor est.,Onsite,London,England
Optimove,3.5,Machine Learning Engineer,43.0,40500.0,"Sales, AI, Communication skills",Glasdoor est.,Onsite,London,England
AWS EMEA SARL (UK Branch),3.8,Generative AI Specialist SA,44.0,65000.0,"Machine learning, Natural language processing, Data science, Python",Employer est.,Onsite,London,England
Capco,3.7,Data Analytics - Principal Consultant,40.0,68000.0,"System design, Application development, Machine learning, Natural language processing, Agile",Glasdoor est.,Onsite,London,England
Snap Analytics,4.2,AI / ML Engineer,20.0,52500.0,"SAS, R, Tableau, SQL, Product management",Employer est.,Onsite,Bristol,England
esure Group,4.1,AI Engineer,31.0,60000.0,"Data modelling, Big data, Spark, SQL, AWS",Glasdoor est.,Onsite,Reigate,England
Capgemini Engineering,3.2,Expert Sales - Intelligent Bioengineering and AI,25.0,47500.0,"Data analysis skills, Customer relationship management, Organisational skills, Leadership, Communication skills",Glasdoor est.,Onsite,Abingdon,England
Datasource,4.0,Principal Data Scientist,32.0,56500.0,"Power BI, R, Data analysis skills, SQL, Analysis skills",Glasdoor est.,Onsite,Bristol,England
JPMorgan Chase & Co,4.1,"Applied AI ML Director (Python, NLP, LLMs) - International Private Bank",36.0,54000.0,"TensorFlow, Kubernetes, Google Cloud Platform, Natural language processing, APIs",Glasdoor est.,Onsite,Glasgow,Scotland
Roku,4.0,Senior Data Scientist - Search,18.0,59000.0,"Statistical software, Big data, R, Computer skills, Data science",Glasdoor est.,Onsite,Cambridge,England
Cognism,4.3,"Team Lead, Data Science",30.0,104500.0,"Azure, Software deployment, Google Cloud Platform, AWS, Presentation skills",Glasdoor est.,Onsite,London,England
EY,4.0,"Manager, Data & AI Strategy, Data & Analytics, Belfast",23.0,87500.0,"TensorFlow, OS Kernels, C++, C, Machine learning",Glasdoor est.,Onsite,Belfast,Northern Ireland
University of Glasgow,3.9,Analytics Lead,18.0,71000.0,"Statistical analysis, Machine learning, Linux, Data visualisation, Communication skills",Glasdoor est.,Onsite,Glasgow,Scotland
Veer,4.1,AI/ML Software Engineer,14.0,65000.0,"Machine learning, Mentoring, Software development, Agile, Data science",Glasdoor est.,Onsite,London,England
Rothamsted Research,3.6,Senior Research Statistician,7.0,70000.0,"TensorFlow, Kubernetes, Data analysis skills, AWS, Docker",Glasdoor est.,Onsite,Harpenden,England
EPAM Systems,3.7,Data Science Consultant,42.0,72500.0,"TensorFlow, Data mining, Data structures, Spark, R",Employer est.,Onsite,London,England
InstaDeep,3.8,"Machine Learning Engineer, Scaling and Performance",13.0,76000.0,"Machine learning, AI",Employer est.,Onsite,London,England
UCB,3.9,"Senior Principal Scientist, Research Analytics",42.0,72500.0,"Kanban, Project management, Machine learning, Scrum, Agile",Glasdoor est.,Onsite,Berkshire,England
JPMorgan Chase & Co,3.7,Applied AI ML Lead - CIB Securities Services,38.0,100500.0,"Statistical analysis, Machine learning, Deep learning, Python",Glasdoor est.,Onsite,,
BenevolentAI,4.1,Senior Principal Cheminformatics Data Scientist,43.0,115000.0,"MATLAB, Business intelligence, SAS, Supply chain, R",Glasdoor est.,Onsite,London,England
Evi Technologies Limited,3.0,Senior Applied Scientist,36.0,45000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, R, Microsoft Office",Glasdoor est.,Onsite,Cambridge,England
causaLens,4.1,Value Consultant - Causal AI,44.0,50000.0,"OOP, C++, Machine learning, AI, Communication skills",Employer est.,Onsite,London,England
Hogarth Worldwide,3.9,AI Solutions Consultant,32.0,72500.0,"Go, Salesforce, Google Cloud Platform, SQL, AWS",Glasdoor est.,Onsite,London,England
Electric Twin Ltd,4.7,ML Engineer,40.0,66000.0,"Statistics, Power BI, R, SQL, Data visualisation",Glasdoor est.,Onsite,London,England
Amazon UK Services Ltd.,3.7,"Sr. Data Scientist, EU S/C, Supply Chain Science",32.0,65000.0,"Software development, Data science, AI, Communication skills, Python",Employer est.,Onsite,London,England
Ekimetrics,3.8,"Manager, Marketing Mix Modelling (MMM) & Data Science",44.0,40000.0,"TensorFlow, Machine learning, Distributed systems, Deep learning, Natural language processing",Glasdoor est.,Onsite,London,England
Kumo,3.9,Software Engineer - Machine Learning (PyTorch),36.0,68500.0,"TensorFlow, C++, C, Deep learning, Python",Glasdoor est.,Remote,,
Trustpilot,4.0,Data Scientist - Go-to-Market (GTM) Applied AI team,33.0,90000.0,"Jira, Power BI, Data structures, Tableau, SQL",Glasdoor est.,Onsite,London,England
Dunelm,3.8,Senior Analyst - Product Analytics,19.0,61000.0,"Software deployment, SQL, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,Leicester,England
JPMorgan Chase & Co,4.3,"Vice President, AI Engineering Lead - Markets Operations",2.0,103000.0,"Data analysis skills, Statistical analysis, Project management, Machine learning, AI",Glasdoor est.,Onsite,,
Nebius,4.0,"Staff ML Engineer, Large Language Models",40.0,88000.0,"TensorFlow, System design, Analysis skills, Machine learning, Deep learning",Glasdoor est.,Onsite,London,England
The University of Manchester,4.0,Research Associate in Generative Deep Learning for Synthetising Virtual Patient Populations for In-Silico Trials,33.0,82000.0,"Cloud infrastructure, Configuration management, Google Cloud Platform, SQL, Machine learning",Glasdoor est.,Onsite,Manchester,England
QuantSpark,4.0,Analytics Manager,31.0,74500.0,"TensorFlow, Image processing, Unreal Engine, Docker, Machine learning",Glasdoor est.,Onsite,London,England
Eka Finance,3.6,Machine Learning Engineer,12.0,74000.0,"Data analysis skills, Business development, Maths, Machine learning, IT",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,3.8,Applied Artificial Intelligence & Machine Learning Lead - Vice President,31.0,55000.0,"Jira, Power BI, Azure, Software deployment, Git",Employer est.,Onsite,,
iProov,4.2,Machine Learning Engineer (PAI),5.0,86000.0,"R, Microsoft SQL Server, Mentoring, Data science, Leadership",Glasdoor est.,Onsite,London,England
OVO Energy,4.2,Senior Machine Learning Engineer (AI),3.0,119000.0,ATS,Glasdoor est.,Onsite,London,England
PlayStation Global,4.2,Senior Machine Learning Engineer,38.0,69500.0,"TensorFlow, Spark, R, Java, C++",Glasdoor est.,Onsite,London,England
Deloitte,3.9,"Consultant, Data Science and Business Analyst, AI & Data, Defence & Security",38.0,77000.0,"Machine learning, APIs, Communication skills, Python",Glasdoor est.,Onsite,Bristol,England
University of Ulster,2.9,Research Fellow – Applied Researcher for Artificial Intelligence Collaboration Centre (AICC) - 2 posts,17.0,90000.0,"Cloud computing, Python",Employer est.,Onsite,Belfast,Northern Ireland
Simon-Kucher & Partners,3.7,Senior Manager - Data Science,32.0,56500.0,"TensorFlow, Java, C++, Machine learning, Natural language processing",Glasdoor est.,Onsite,London,England
Dominos,3.5,Marketing Data Science Manager,36.0,87500.0,"TensorFlow, Cloud infrastructure, Kubernetes, Configuration management, AWS",Glasdoor est.,Onsite,Milton Keynes,England
Hitachi Solutions Ltd,4.2,Head of AI,32.0,115000.0,"Machine learning, Product management, Organisational skills, AI, Requirements gathering",Glasdoor est.,Onsite,London,England
Evi Technologies Limited,3.8,"Senior Applied Scientist, AGI - Intelligent Decisions",38.0,102500.0,"TensorFlow, Data analysis skills, Machine learning, Biochemistry, Deep learning",Glasdoor est.,Onsite,Cambridge,England
Lendable,4.1,Data Science Manager (US Products),42.0,90000.0,"Elasticsearch, Power BI, TCP, System administration, Business intelligence",Glasdoor est.,Onsite,London,England
Pythia Sports,3.8,Senior Data Scientist - Cricket,36.0,48000.0,"TensorFlow, Cloud infrastructure, Azure, Data structures, English",Glasdoor est.,Onsite,London,England
Locomo EV,3.9,Machine Learning Engineer (Medical),12.0,47000.0,"Data mining, Spark, R, Apache Hive, Java",Employer est.,Remote,,
Machine Medicine Technologies,4.2,Machine Learning Engineer,37.0,52000.0,"XML, SAS, Maths, FDA regulations",Glasdoor est.,Onsite,London,England
Meta,3.7,"Product Manager, Machine Learning",37.0,136000.0,"TensorFlow, Azure, Google Cloud Platform, AWS, Maths",Glasdoor est.,Onsite,London,England
GSK,3.8,AI/ML Engineer - Sequence Learning,42.0,72500.0,"CRM software, Power BI, Data modelling, Microsoft Excel, Google Tag Manager",Glasdoor est.,Onsite,London,England
Northrop Grumman,3.8,Lead Big Data Engineer,10.0,37500.0,"TensorFlow, Image processing, Signal processing, Kubernetes, Git",Glasdoor est.,Onsite,London,England
Deimos,3.7,Machine Learning Engineer,43.0,75500.0,"SQL, Maths, Portuguese, Python",Glasdoor est.,Onsite,Oxford,England
Meta,3.9,Software Engineer (Leadership) - Machine Learning,42.0,79500.0,"Azure, Management, Relational databases, SQL, Maths",Glasdoor est.,Onsite,London,England
PHASTAR,5.0,Senior Statistical Programmer I,37.0,50000.0,"Power BI, Tableau, SQL, Data science, Data visualisation",Employer est.,Remote,,
Complexio,3.2,Senior AI/Machine Learning Scientist,37.0,44000.0,"R, English, SQL, Data science, Communication skills",Glasdoor est.,Remote,,
University of Birmingham,3.7,BHP Clinician Scientist - Institute of Applied Health Research - 104092 - Clinical,26.0,50500.0,"Machine learning, Natural language processing",Glasdoor est.,Onsite,Birmingham,England
Cover-More,3.3,Marketing & Performance Analyst,42.0,51500.0,"Sales, Lead generation, Business development, Machine learning, Sales pipeline",Glasdoor est.,Onsite,Uxbridge,England
Onfido,3.7,Staff Applied Scientist (Computer Vision / Machine Learning),35.0,81500.0,"R, Presentation skills, Machine learning, Python",Glasdoor est.,Remote,,
Nando’s Chickenland Limited,4.1,Analytics Lead,40.0,81500.0,"Image processing, SQL, Machine learning, Data science, AI",Glasdoor est.,Onsite,London,England
QS Quacquarelli Symonds,4.0,Director of Data Science,31.0,55000.0,"Machine learning, Software development, IT, Communication skills",Glasdoor est.,Onsite,London,England
Just Eat Takeaway.com,3.3,Analytics Manager,42.0,55500.0,"TensorFlow, Spark, Java, AWS, C++",Glasdoor est.,Onsite,London,England
Visa,4.2,Data Science Senior Manager,14.0,26000.0,"Data modelling, Sales, Data structures, Machine learning, AI",Glasdoor est.,Onsite,London,England
Eka Finance,2.9,NLP Quant Specialists,12.0,39500.0,"Business development, AI",Employer est.,Onsite,London,England
Hewlett Packard Enterprise,3.9,Industry AI & HPC Business Development Representative,6.0,76500.0,"Cloud infrastructure, Confluence, Data science, AI",Glasdoor est.,Onsite,Winnersh,England
CoMind,3.3,Senior Research Statistician,36.0,137500.0,"Statistical software, SAS, R, Git, SQL",Glasdoor est.,Onsite,London,England
Tripadvisor,3.7,Senior Machine Learning Scientist (Viator),41.0,51000.0,"R, SQL, Communication skills, Python",Employer est.,Onsite,London,England
Altos Labs,3.1,Staff Machine Learning Engineer,33.0,64500.0,Teaching,Employer est.,Onsite,Cambridge,England
Amazon Development Centre (Scotland) Limited,3.1,"Principal Applied Scientist, Personalization Team",38.0,74500.0,"TensorFlow, Azure, Software deployment, Data structures, Git",Glasdoor est.,Onsite,Edinburgh,Scotland
Qlik,4.1,Qlik Sense Developer - Sales Performance Analytics,5.0,34000.0,"Big data, Scientific research, Spark, Microservices, Machine learning",Glasdoor est.,Onsite,Wokingham,England
Deloitte,3.9,"AI Senior Manager, R&D - Life Sciences",40.0,48500.0,"Business intelligence, Procurement, SAP, Supply chain, ERP systems",Glasdoor est.,Onsite,London,England
IAG Ai,3.8,Solution Lead,13.0,69000.0,"Machine learning, Data science, AI, Leadership, Communication skills",Glasdoor est.,Onsite,London,England
Allianz Commercial,4.3,"Predictive Modeller - Pricing Analytics, Global Pricing",34.0,78500.0,"Project management, Product management, UX, Software development, IT",Glasdoor est.,Onsite,London,England
Dunelm,3.9,Senior Analyst - Customer Analytics,38.0,65500.0,"Azure, Google Cloud Platform, AWS, Machine learning, Data management",Glasdoor est.,Onsite,Leicester,England
University of Sheffield,3.9,"Lecturer / Senior Lecturer in Data, AI and Society",37.0,78500.0,"R, Data analysis skills, Git, Tableau, SQL",Glasdoor est.,Onsite,Sheffield,England
JPMorgan Chase & Co,5.0,"Applied AI/ML Lead - Python, NLP, LLMs",32.0,65000.0,"TensorFlow, Azure, Data mining, Go, Laboratory experience",Employer est.,Onsite,Glasgow,Scotland
JPMorgan Chase & Co,4.2,Applied AI ML - Sr. Associate - Machine Learning Engineer,30.0,60000.0,"Data mining, German",Employer est.,Onsite,,
AstraZeneca,4.1,Analytics and Insights Manager - Global Operations,7.0,51500.0,"Clinical research, SAS, Application development, Leadership",Glasdoor est.,Onsite,Macclesfield,England
Equifax,4.0,AI Director,5.0,79500.0,"Machine learning, Natural language processing, Data science, Python",Glasdoor est.,Onsite,London,England
